reference_answer,answer,score
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Character is every elemental aspect of statistical units (descriptive statistics: quantitative knowledge of collective phenomena). Characters are divided into qualitatives whose modes are verbal expressions (disconnected: sex, religion, region of residence, place of birth, type of degree and orderable: degree of study, year of enrolment at the university, degree of satisfaction, level of risk) and quantitative, measurable and for which a unit of measurement can be defined (discreet: number of workers, members of a family, incoming and continuous calls: height, weight, income, duration of an examination).",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Characters are variables that are found on the statistical units that are part of a sample and express themselves through different modes.
The characters can be of two types: qualitative and quantitative.
The qualitative characters are expressed through verbal modes, and in turn can be divided into disconnected qualities, if there is no objective way to reorder the modalities, such as sex, ethnicity, religion, or ordering qualities if instead the modalities can be reordered according to a natural/objective criterion (the degree of study, the level of satisfaction).
The quantitative characters are expressed by numerical means: they are divided into discrete quantities and continuous quantities. In the first case they are whole numbers (the number of members of a family or the crimes committed), in the second case the numbers are included in a range of real numbers (height, weight); the quantitative characters have a unit of measurement (e.g. meters, kilograms...).",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","It is called character every elemental aspect object of revelation on the statistical units of the collective, the characters present in a statistical unit are generally of different nature.

They can be classified in: 

-Quality characteristics (the modalities of which are verbal expressions), can be title of study, year of course etc.

-Quantity characteristics: The modalities can be expressed by numbers, the quantitative characters are measurable and it is to define a unit of measurement such as age, income, height etc.

Then you are also:

-Discrete quantitative characteristics: The methods of which are the entire numbers 0.1,3...n (number of staff in a company, number of family members etc.)

- Continuous quantitative characters: the mode of which is all the real numbers within a given range (height, weight, income)",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Characters can be of 4 different types and are; qualitative characters coe for example: sex, title of study. Or quantities that include the mode that can be formed by numbers and therefore can be quantified such as height and age. the quality characteristics can in turn be distinguished in: disconnected and orderable. Disconnecteds have as modes verbal names for which it is not possible to define an example order sex or religion, while those which can be ordered have verbal names for which a natural order can form an example of the title of study. the quantitative characters are in turn distinguished in discrete quantities where the modes are whole numbers, such as the family unit, or continuous or where the modalities vary over time, for example age or weight.",59.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Each statistical character is expressed through the modes that can be numbers or attributes. When modes are verbal expressions the characters are qualitative; they can be disconnected when they have verbal expressions for which it is not possible to order them; such as sex and religion, while when it is possible to order them they are called, quality characters can be ordered; for example the degree is satisfied, which we can order from the lowest to the highest. The quantitative characters, on the other hand, are measurable and it is possible to define a unit of measurement; they are distinguished: 1) discrete quantitative characters, when the modes are whole numbers (e.g. age, number of members of a family), 2) continuous quantitative characters, when the modes are all real numbers within a given range (e.g. weight and height).",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Each statistical character is expressed through the modes that can be numbers or attributes. 

When modes are verbal expressions, characters are qualitative; quantitative characters are disconnected when they have verbal expressions for which they do not exist and it is not possible to establish a sort (sex, region of residence) while when there is a natural order we talk about quality characters that can be ordered (performance, degree of satisfaction).

the quantitative characters are measurable and a unit of measurement can be defined; they are distinguished in discrete quantitative characters when the modes are whole numbers (age, cfu, number of members of a household, n of employees of a holding) and in continuous quantitative characters when the modes are all real numbers within a given interval (weight, height, waiting time, duration of a conversation.",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Character is a characteristic that is detected on each statistical unit and can be distinguished in:
QUALITATIVE CHARACTERISTICS, i.e. those expressed verbally (e.g. sex, title of study...), which in turn divide into orderable, i.e. characters that have modes for which there is a natural order (i.e. modes can be ordered, such as ""title of study"" or ""degree of satisfaction""..) and disconnected, i.e. those that have modes for which there is no natural order (i.e. modes cannot be ordered, such as ""sex"", ""film genre"", ""religion""..)

QUANTITATIVE CHARACTERISTICS, i.e. those expressed through numbers (e.g. ""number of members of a family"", ""height""..) which in turn are distinguishable in discrete, i.e. characters whose modes are integer numbers 0.1,2.. (such as the number of members of a family) and continuous, i.e. characters whose modes are all the real numbers included in an interval (such as weight and height).",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Each elemental aspect, which is the subject of a survey on the statistical units of the collective, is defined as character, i.e. the characteristic that is taken into consideration in order to study it. Each statistical unit bears several characters that have a different nature: qualitative characters in which the modality have verbal expressions (ES: year of course, title of study) they are divided in their turn into: Connected: when they have verbal names for which there is no order (ES: religion, sex) and Ordinable: they have verbal names for which there is a natural order (ES: title of study, year of registration at university). The quantitative characters have the mode that is expressed by numbers and have a unit of measurement (ES: age, height) in turn are divided into: Discreets: where the modes are integer numbers (ES: number of components in a family), continue instead are those that have for modes integer numbers included in a given range (ES: height). ",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","The characters are divided into two types: qualitative and quantitative. Qualities are expressed verbally and can be disconnected (e.g. color of the eyes, sex, type of diploma, etc.) or can be ordered as they follow a logical order (e.g. level of education, level of satisfaction, etc.). The quantitative characters are expressed numerically, can be ordered and can have a unit of measurement. They are distinguished in discrete, when the numbers are whole (e.g. number of family members, number of employees in a company, etc.) or continue, when expressing with real numbers in a given range (e.g. age, weight, height, etc.)",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","In a statistical unit we can find characters of different nature: qualitative characters: where the modes are verbal expressions or attributes for example we talk about the character sex, year of course, title of study, etc... we then have quantitative characters where the modalities can be expressed by numbers, are measurable and it is possible to define a unit of measurement, e.g. age, own income, height, etc. The qualitative characters in turn can be disconnected, when they have verbal names for which there is no order, which can be ordered when they present verbal modalities for which there is a natural order. The quantitative characters in turn can be discrete, when the modes have integer numbers, continue when the modes are all real numbers within a given range.",59.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","It is called character every elemental aspect which is recorded on the statistical units, the characters present in the statistical units are generally of a different nature: 

Qualitative characteristics in which modes are variable expressions an example is the title of study or the year of course.

The qualitative characters are divided into: Unconnected qualitative characters that have for verbal names modalities for which there is no exist and it is not possible to establish an order an example is religion, the region of residence, place of birth.

The quality characters can be ordered by verbal names for which there is a natural system, an example is the title of study, year of enrolment at the university

The quantitative characters in which the modalities can be expressed by numbers. The quantitative characters in turn can be distinguished in discrete quantitative characters in which the modalities are the integer numbers 0,1,2 an example is the number of persons employed in a holding, the number of members of a family.

And continuous quantitative characters in which modes are all real numbers within a given range one example is height, weight, income.",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","We can have qualitative, orderable or disconnected characters and discrete or continuous quantitative characters. The qualitative characters are given by verbal expressions or attributes, the orderable ones have a natural order such as the year of study attended, the level of satisfaction; the unconnected qualitative characters instead are not able to order for so far can be for example sex, the title of study, ethnicity. 
The quantitative characters instead all refer to numerical quantities only that those in the discreet refer to whole numbers such as the number of members of a family, the continuous quantitative characters, always measure in the discreet, but within an interval of time such as the duration of a telephone call, the weight etc.",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Character is defined every elemental aspect revealing statistical units on the collective, each statistical unit is bearer of multiple characters of different nature: the characters are divided in qualitative and quantitative, the qualitative ones can be disconnected or ordered while the quantities can be discreet or continuous. As for the unconnected qualitative characters we have to represent them a mode given by an unorderable verbal expression, which does not follow any sort of order, for the orderable qualities we have as a mode a verbal expression that follows a natural order. 
The quantities are divided into discrete and continuous, for the quantitative characters we have as methods of measurable numbers and it is possible to define a unit of measurement, for the quantities disconnected the modality will be a real number for the continuous quantitative characters the modality will be a real number included in a real interval.
Orderable quality: High, medium, low
Unconnected quality: Blond, Bruno, Red
Discreet quantity: 1,2,3,4
Unconnected quantity: 0.1, 0.2. 0.3 
The operations that we can carry out on these characters are: on the unconnected qualitative characters equality and inequality operations, on the orderable qualities we can carry out operations of equality, inequality and order and on the quantities we can carry out all the operations already mentioned more arithmetical ones.",59.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","It is called character every elemental aspect that must be detected in the statistical unit. Each statistical unit carries numerous characters. The character can be qualitative, if the modes are verbal expressions and the qualitative characters can in turn be disconnected or ordered. A unconnected qualitative character can be for example sex, religion, if they do not have a valid order, or can be ordered if they have it as the title of study year of enrollment at university etc. It can also be quantitative if it refers to numerical values and can be discreet as for example number of family members or of a company, or continuous as height weight, income etc.",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Statistics are divided into descriptive and inferential. Descriptive statistics aim at quantitative knowledge of collective phenomena. The essential terminology used for this statistics is:

- Statistical unit = is the primary object of observation;

-statistical collective = is the set of statistical units,

-Character = each elemental aspect recorded on the statistical units of the collective;

-modality=Several ways in which character occurs in statistical units.

Characters are divided into qualitative and quantitative. 

qualitative characters have as verbal expression modes, and are divided into disconnected (such as sex, religion, the region of residence,...) and orderly (such as the title of study, the year of enrollment at the university,...).

the quantitative characters have the numbers as their mode, and can be measurable. These are divided into discrete (the modes of which are whole numbers such as family members) and continuous (the modes of which are all real numbers included in a given range such as height, age,...).",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Characters are divided into qualitative characters and quantitative characters. The qualitative characters in turn have a further distinction in disconnected and in orderable, the first ones can be the kind of a film, the chief town of residence, the sex etc... the second ones have an order of magnitude that can go from the smallest to the largest, example the title of study, the level of satisfaction etc... Then in the quantitative characters, as in the qualitative ones, there is also here a distinction in discreet and continuous. Discreet characters are whole numbers (0; 1;2...) and may be members of a family, of a football team. While continuous characters are the real numbers included in the time interval and can be weight, height, waiting time.",59.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Characters are divided into Qualities and Quantities. Qualities in turn are divided into: Connected Qualities (e.g. sex, or religion), and Ordinary Qualities (e.g. title of study). On the other hand, the quantities are divided into: discrete quantities, consisting of whole numbers (e.g. family members), and continuous quantities, i.e. real numbers within a range (e.g. weight, height).",59.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ",-,0.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","We can define character every elemental aspect that is collected on the statistical units of the collective. There are two types of character:

	* QUALITATIVE character, which can be distinguished in: 

a. disconnected: they have verbal names for which it does not exist and it is not possible, ordering (e.g. religion, sex, place of birth, type of degree, etc.)

b. Orderable: have verbal names for which there is a natural order (e.g. degree, year of enrolment in school, etc.)

	* ACTIVE characters that are distinguished by:

a. Discreet: Modes are integer numbers (0.12...), e.g. the number of students in a course, number of members in a band etc.
b. Continuous: Modes are all real numbers within a given range (ed. height, weight, waiting time, income...)

For these characters not all operations are possible:

 1.Arithmetic (+,-,*,/) = only for quantitative characters

2. sorting (< or >) = only for quantitative and qualitative characters which can be ordered

3.Equality/inequality = for quantitative, qualitative, orderable and disconnected characters.",100.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","It is called character every elemental aspect object of surveys on the statistical units of the collective.Each statistical unit is bearer of multiple characters(es: age, sex etc...); the character varies from the type of statistical unit and are of different nature: qualitative character(age), whose modalities are verbal expressions and in turn they are divided into: qualitative ""disconnected"" that have for modes verbal names for which there is no order, and ""ordinable"" that have for modes verbal names for which there is a natural order;Quantity character (redit) where the modalities can be expressed by numbers and in turn can distinguish themselves in: discreet and continuous. For discrete quantitative characters the modes are integer numbers:0,1,2(es: number of employees in a family); while continuous quantitative characters, the modes are all real numbers included in a time interval(es: height, weight...).",80.0
